winner_tie,loser_tie,Winner Conference,Loser Conference,year,date,day,bowl_name,winner_points,loser_points,Winner 2024 Avg Attendance,Winner 2023 Avg Attendance,Winner 5 Yr Avg Attendance,Loser 2024 Avg Attendance,Loser 2023 Avg Attendance,Loser 5 Yr Avg Attendance,Winner Capacity %,Loser Capacity %
Syracuse,Kentucky,ACC,SEC,1999,1999-12-29,Wed,Music City Bowl,20,13,39130,34045,37308,59516,60939,57155,79,97
Virginia Tech,Alabama,ACC,SEC,1998,1998-12-29,Tue,Music City Bowl,38,7,65632,64733,61137,100077,100077,100091,99,100
Tulsa,Old Dominion,American,Sun Belt,2021,2021-12-20,Mon,Myrtle Beach Bowl,30,17,20411,20187,18170,20272,17847,18382,68,92
Appalachian State,North Texas,Sun Belt,American,2020,2020-12-21,Mon,Myrtle Beach Bowl,56,28,34623,34734,28900,23022,17761,19634,115,74
Hawaii,Houston,Mountain West,Big 12,2020,2020-12-24,Thu,New Mexico Bowl,28,14,12963,11251,14380,27423,36020,28369,76,68
San Diego State,Central Michigan,Mountain West,MAC,2019,2019-12-21,Sat,New Mexico Bowl,48,11,24770,24832,25347,17752,16350,14608,70,58
Utah State,North Texas,Mountain West,American,2018,2018-12-15,Sat,New Mexico Bowl,52,13,16992,19282,19188,23022,17761,19634,66,74
Marshall,Colorado State,Sun Belt,Mountain West,2017,2017-12-16,Sat,New Mexico Bowl,31,28,23022,23198,22807,33082,26509,26668,60,80
Arizona,New Mexico,Big 12,Mountain West,2015,2015-12-19,Sat,New Mexico Bowl,45,37,46747,47320,42279,16001,15982,15923,83,40
Colorado State,Washington State,Mountain West,Pac-12,2013,2013-12-21,Sat,New Mexico Bowl,48,45,33082,26509,26668,22413,28023,27211,80,69
Arizona,Nevada,Big 12,Mountain West,2012,2012-12-15,Sat,New Mexico Bowl,49,48,46747,47320,42279,17419,16998,17368,83,64
Temple,Wyoming,American,Mountain West,2011,2011-12-17,Sat,New Mexico Bowl,37,15,13919,13446,22023,21937,23163,21277,20,75
Wyoming,Fresno State,Mountain West,Mountain West,2009,2009-12-19,Sat,New Mexico Bowl,35,28,21937,23163,21277,40600,39969,35095,75,98
Colorado State,Fresno State,Mountain West,Mountain West,2008,2008-12-20,Sat,New Mexico Bowl,40,35,33082,26509,26668,40600,39969,35095,80,98
New Mexico,Nevada,Mountain West,Mountain West,2007,2007-12-22,Sat,New Mexico Bowl,23,0,16001,15982,15923,17419,16998,17368,40,64
San Jose State,New Mexico,Mountain West,Mountain West,2006,2006-12-23,Sat,New Mexico Bowl,20,12,16058,16804,15665,16001,15982,15923,87,40
Louisiana,Marshall,Sun Belt,Sun Belt,2021,2021-12-18,Sat,New Orleans Bowl,36,21,17952,16664,18091,23022,23198,22807,43,60
Georgia Southern,Louisiana Tech,Sun Belt,C-USA,2020,2020-12-23,Wed,New Orleans Bowl,38,3,22516,21480,17277,15999,15796,16733,90,56
Troy,North Texas,Sun Belt,American,2017,2017-12-16,Sat,New Orleans Bowl,50,30,23630,27121,25032,23022,17761,19634,77,74
Louisiana Tech,Arkansas State,C-USA,Sun Belt,2015,2015-12-19,Sat,New Orleans Bowl,47,28,15999,15796,16733,17871,16747,16745,56,57
Louisiana,Nevada,Sun Belt,Mountain West,2014,2014-12-20,Sat,New Orleans Bowl,16,3,17952,16664,18091,17419,16998,17368,43,64
Louisiana,Tulane,Sun Belt,American,2013,2013-12-21,Sat,New Orleans Bowl,24,21,17952,16664,18091,23980,25021,19648,43,79
Louisiana,San Diego State,Sun Belt,Mountain West,2011,2011-12-17,Sat,New Orleans Bowl,32,30,17952,16664,18091,24770,24832,25347,43,70
Troy,Ohio,Sun Belt,MAC,2010,2010-12-18,Sat,New Orleans Bowl,48,21,23630,27121,25032,17641,19005,17423,77,73
Florida Atlantic,Memphis,American,American,2007,2007-12-21,Fri,New Orleans Bowl,44,27,19500,18603,18553,24552,29782,31253,65,39
Troy,Rice,Sun Belt,American,2006,2006-12-22,Fri,New Orleans Bowl,41,17,23630,27121,25032,18143,20542,20110,77,38
Memphis,North Texas,American,American,2003,2003-12-16,Tue,New Orleans Bowl,27,17,24552,29782,31253,23022,17761,19634,39,74
North Texas,Cincinnati,American,Big 12,2002,2002-12-17,Tue,New Orleans Bowl,24,19,23022,17761,19634,36615,38193,36030,74,96
Colorado State,North Texas,Mountain West,American,2001,2001-12-18,Tue,New Orleans Bowl,45,20,33082,26509,26668,23022,17761,19634,80,74
Georgia,Michigan,SEC,Big Ten,2021,2021-12-31,Fri,Orange Bowl,34,11,93033,92746,92760,110548,109971,110235,100,102
Texas A&M,North Carolina,SEC,ACC,2020,2021-01-02,Sat,Orange Bowl,41,27,102847,99234,100156,47686,50095,48019,100,94
Florida,Virginia,SEC,ACC,2019,2019-12-30,Mon,Orange Bowl,36,28,90017,89587,85791,38999,43293,42796,101,63
Alabama,Oklahoma,SEC,SEC,2018,2018-12-29,Sat,Orange Bowl,45,34,100077,100077,100091,83513,83741,83073,100,104
Clemson,Oklahoma,ACC,SEC,2015,2015-12-31,Thu,Orange Bowl,37,17,80806,81334,80557,83513,83741,83073,99,104
Georgia Tech,Mississippi State,ACC,SEC,2014,2014-12-31,Wed,Orange Bowl,49,34,38216,36290,39223,48809,54455,54402,69,79
Clemson,Ohio State,ACC,Big Ten,2013,2014-01-03,Fri,Orange Bowl,40,35,80806,81334,80557,104216,103792,102108,99,101
West Virginia,Clemson,Big 12,ACC,2011,2012-01-04,Wed,Orange Bowl,70,33,52459,51156,52892,80806,81334,80557,87,99
Stanford,Virginia Tech,ACC,ACC,2010,2011-01-03,Mon,Orange Bowl,40,12,26035,33219,34746,65632,64733,61137,51,99
Iowa,Georgia Tech,Big Ten,ACC,2009,2010-01-05,Tue,Orange Bowl,24,14,69250,69250,67775,38216,36290,39223,100,69
Virginia Tech,Cincinnati,ACC,Big 12,2008,2009-01-01,Thu,Orange Bowl,20,7,65632,64733,61137,36615,38193,36030,99,96
Louisville,Wake Forest,ACC,ACC,2006,2007-01-02,Tue,Orange Bowl,24,13,50863,51252,47415,29737,30609,28645,83,94
Florida,Maryland,SEC,Big Ten,2001,2002-01-02,Wed,Orange Bowl,56,23,90017,89587,85791,36040,40314,36345,101,69
Michigan,Alabama,Big Ten,SEC,1999,2000-01-01,Sat,Orange Bowl,35,34,110548,109971,110235,100077,100077,100091,102,100
Florida,Syracuse,SEC,ACC,1998,1999-01-02,Sat,Orange Bowl,31,10,90017,89587,85791,39130,34045,37308,101,79
Nebraska,Tennessee,Big Ten,SEC,1997,1998-01-02,Fri,Orange Bowl,42,17,86900,86802,87599,101915,101915,93936,101,100
Nebraska,Virginia Tech,Big Ten,ACC,1996,1996-12-31,Tue,Orange Bowl,41,21,86900,86802,87599,65632,64733,61137,101,99
Colorado,Notre Dame,Big 12,Independent,1990,1991-01-01,Tue,Orange Bowl,10,9,52514,53180,47579,77622,77622,76108,104,100
Notre Dame,Colorado,Independent,Big 12,1989,1990-01-01,Mon,Orange Bowl,21,6,77622,77622,76108,52514,53180,47579,100,104
Oklahoma,Arkansas,SEC,SEC,1986,1987-01-01,Thu,Orange Bowl,42,8,83513,83741,83073,73392,65317,62914,104,96
Oklahoma,Penn State,SEC,Big Ten,1985,1986-01-01,Wed,Orange Bowl,25,10,83513,83741,83073,108379,108409,106750,104,101
Washington,Oklahoma,Big Ten,SEC,1984,1985-01-01,Tue,Orange Bowl,28,17,68865,68814,66220,83513,83741,83073,98,104
Clemson,Nebraska,ACC,Big Ten,1981,1982-01-01,Fri,Orange Bowl,22,15,80806,81334,80557,86900,86802,87599,99,101
Oklahoma,Nebraska,SEC,Big Ten,1978,1979-01-01,Mon,Orange Bowl,31,24,83513,83741,83073,86900,86802,87599,104,101
Arkansas,Oklahoma,SEC,SEC,1977,1978-01-02,Mon,Orange Bowl,31,6,73392,65317,62914,83513,83741,83073,96,104
Ohio State,Colorado,Big Ten,Big 12,1976,1977-01-01,Sat,Orange Bowl,27,10,104216,103792,102108,52514,53180,47579,101,104
Oklahoma,Michigan,SEC,Big Ten,1975,1976-01-01,Thu,Orange Bowl,14,6,83513,83741,83073,110548,109971,110235,104,102
Notre Dame,Alabama,Independent,SEC,1974,1975-01-01,Wed,Orange Bowl,13,11,77622,77622,76108,100077,100077,100091,100,100
Nebraska,Notre Dame,Big Ten,Independent,1972,1973-01-01,Mon,Orange Bowl,40,6,86900,86802,87599,77622,77622,76108,101,100
Nebraska,Alabama,Big Ten,SEC,1971,1972-01-01,Sat,Orange Bowl,38,6,86900,86802,87599,100077,100077,100091,101,100
Penn State,Missouri,Big Ten,SEC,1969,1970-01-01,Thu,Orange Bowl,10,3,108379,108409,106750,62621,60169,53367,101,101
Oklahoma,Tennessee,SEC,SEC,1967,1968-01-01,Mon,Orange Bowl,26,24,83513,83741,83073,101915,101915,93936,104,100
Florida,Georgia Tech,SEC,ACC,1966,1967-01-02,Mon,Orange Bowl,27,12,90017,89587,85791,38216,36290,39223,101,69
Alabama,Nebraska,SEC,Big Ten,1965,1966-01-01,Sat,Orange Bowl,39,28,100077,100077,100091,86900,86802,87599,100,101
Texas,Alabama,SEC,SEC,1964,1965-01-01,Fri,Orange Bowl,21,17,102386,101625,97565,100077,100077,100091,102,100
Nebraska,Auburn,Big Ten,SEC,1963,1964-01-01,Wed,Orange Bowl,13,7,86900,86802,87599,88043,88043,85924,101,100
Alabama,Oklahoma,SEC,SEC,1962,1963-01-01,Tue,Orange Bowl,17,0,100077,100077,100091,83513,83741,83073,100,104
Missouri,Navy,SEC,American,1960,1961-01-02,Mon,Orange Bowl,21,14,62621,60169,53367,39825,30804,32300,101,117
Georgia,Missouri,SEC,SEC,1959,1960-01-01,Fri,Orange Bowl,14,0,93033,92746,92760,62621,60169,53367,100,101
Oklahoma,Syracuse,SEC,ACC,1958,1959-01-01,Thu,Orange Bowl,21,6,83513,83741,83073,39130,34045,37308,104,79
Oklahoma,Duke,SEC,ACC,1957,1958-01-01,Wed,Orange Bowl,48,21,83513,83741,83073,26183,25111,23499,104,74
Colorado,Clemson,Big 12,ACC,1956,1957-01-01,Tue,Orange Bowl,27,21,52514,53180,47579,80806,81334,80557,104,99
Oklahoma,Maryland,SEC,Big Ten,1955,1956-01-02,Mon,Orange Bowl,20,6,83513,83741,83073,36040,40314,36345,104,69
Duke,Nebraska,ACC,Big Ten,1954,1955-01-01,Sat,Orange Bowl,34,7,26183,25111,23499,86900,86802,87599,74,101
Oklahoma,Maryland,SEC,Big Ten,1953,1954-01-01,Fri,Orange Bowl,7,0,83513,83741,83073,36040,40314,36345,104,69
Alabama,Syracuse,SEC,ACC,1952,1953-01-01,Thu,Orange Bowl,61,6,100077,100077,100091,39130,34045,37308,100,79
Georgia Tech,Baylor,ACC,Big 12,1951,1952-01-01,Tue,Orange Bowl,17,14,38216,36290,39223,42302,43388,44087,69,93
Texas,Georgia,SEC,SEC,1948,1949-01-01,Sat,Orange Bowl,41,28,102386,101625,97565,93033,92746,92760,102,100
Rice,Tennessee,American,SEC,1946,1947-01-01,Wed,Orange Bowl,8,0,18143,20542,20110,101915,101915,93936,38,100
Tulsa,Georgia Tech,American,ACC,1944,1945-01-01,Mon,Orange Bowl,26,12,20411,20187,18170,38216,36290,39223,68,69
Alabama,Boston College,SEC,ACC,1942,1943-01-01,Fri,Orange Bowl,37,21,100077,100077,100091,39839,36376,35734,100,89
Georgia Tech,Missouri,ACC,SEC,1939,1940-01-01,Mon,Orange Bowl,21,7,38216,36290,39223,62621,60169,53367,69,101
Tennessee,Oklahoma,SEC,SEC,1938,1939-01-02,Mon,Orange Bowl,17,0,101915,101915,93936,83513,83741,83073,100,104
Auburn,Michigan State,SEC,Big Ten,1937,1938-01-01,Sat,Orange Bowl,6,0,88043,88043,85924,65307,70211,69959,100,87
Arkansas,Penn State,SEC,Big Ten,2021,2022-01-01,Sat,Outback Bowl,24,10,73392,65317,62914,108379,108409,106750,96,101
Minnesota,Auburn,Big Ten,SEC,2019,2020-01-01,Wed,Outback Bowl,31,24,47467,48453,44743,88043,88043,85924,93,100
Iowa,Mississippi State,Big Ten,SEC,2018,2019-01-01,Tue,Outback Bowl,27,22,69250,69250,67775,48809,54455,54402,100,79
South Carolina,Michigan,SEC,Big Ten,2017,2018-01-01,Mon,Outback Bowl,26,19,79329,77833,74988,110548,109971,110235,102,102
Florida,Iowa,SEC,Big Ten,2016,2017-01-02,Mon,Outback Bowl,30,3,90017,89587,85791,69250,69250,67775,101,100
Wisconsin,Auburn,Big Ten,SEC,2014,2015-01-01,Thu,Outback Bowl,34,31,76057,75391,75328,88043,88043,85924,100,100
South Carolina,Michigan,SEC,Big Ten,2012,2013-01-01,Tue,Outback Bowl,33,28,79329,77833,74988,110548,109971,110235,102,102
Michigan State,Georgia,Big Ten,SEC,2011,2012-01-02,Mon,Outback Bowl,33,30,65307,70211,69959,93033,92746,92760,87,100
Florida,Penn State,SEC,Big Ten,2010,2011-01-01,Sat,Outback Bowl,37,24,90017,89587,85791,108379,108409,106750,101,101
Iowa,South Carolina,Big Ten,SEC,2008,2009-01-01,Thu,Outback Bowl,31,10,69250,69250,67775,79329,77833,74988,100,102
Tennessee,Wisconsin,SEC,Big Ten,2007,2008-01-01,Tue,Outback Bowl,21,17,101915,101915,93936,76057,75391,75328,100,100
Penn State,Tennessee,Big Ten,SEC,2006,2007-01-01,Mon,Outback Bowl,20,10,108379,108409,106750,101915,101915,93936,101,100
Florida,Iowa,SEC,Big Ten,2005,2006-01-02,Mon,Outback Bowl,31,24,90017,89587,85791,69250,69250,67775,101,100
Georgia,Wisconsin,SEC,Big Ten,2004,2005-01-01,Sat,Outback Bowl,24,21,93033,92746,92760,76057,75391,75328,100,100
Iowa,Florida,Big Ten,SEC,2003,2004-01-01,Thu,Outback Bowl,37,17,69250,69250,67775,90017,89587,85791,100,101
Michigan,Florida,Big Ten,SEC,2002,2003-01-01,Wed,Outback Bowl,38,30,110548,109971,110235,90017,89587,85791,102,101
South Carolina,Ohio State,SEC,Big Ten,2001,2002-01-01,Tue,Outback Bowl,31,28,79329,77833,74988,104216,103792,102108,102,101
South Carolina,Ohio State,SEC,Big Ten,2000,2001-01-01,Mon,Outback Bowl,24,7,79329,77833,74988,104216,103792,102108,102,101
Georgia,Purdue,SEC,Big Ten,1999,2000-01-01,Sat,Outback Bowl,28,25,93033,92746,92760,59887,58248,55370,100,97
Penn State,Kentucky,Big Ten,SEC,1998,1999-01-01,Fri,Outback Bowl,26,14,108379,108409,106750,59516,60939,57155,101,97
Georgia,Wisconsin,SEC,Big Ten,1997,1998-01-01,Thu,Outback Bowl,33,6,93033,92746,92760,76057,75391,75328,100,100
Alabama,Michigan,SEC,Big Ten,1996,1997-01-01,Wed,Outback Bowl,17,14,100077,100077,100091,110548,109971,110235,100,102
Penn State,Auburn,Big Ten,SEC,1995,1996-01-01,Mon,Outback Bowl,43,14,108379,108409,106750,88043,88043,85924,101,100
Wisconsin,Duke,Big Ten,ACC,1994,1995-01-02,Mon,Outback Bowl,34,20,76057,75391,75328,26183,25111,23499,100,74
Tennessee,Boston College,SEC,ACC,1992,1993-01-01,Fri,Outback Bowl,38,23,101915,101915,93936,39839,36376,35734,100,89
Syracuse,Ohio State,ACC,Big Ten,1991,1992-01-01,Wed,Outback Bowl,24,17,39130,34045,37308,104216,103792,102108,79,101
Clemson,Illinois,ACC,Big Ten,1990,1991-01-01,Tue,Outback Bowl,30,0,80806,81334,80557,54750,49698,40166,99,90
Auburn,Ohio State,SEC,Big Ten,1989,1990-01-01,Mon,Outback Bowl,31,14,88043,88043,85924,104216,103792,102108,100,101
Michigan,Alabama,Big Ten,SEC,1987,1988-01-02,Sat,Outback Bowl,28,24,110548,109971,110235,100077,100077,100091,102,100
Boston College,Georgia,ACC,SEC,1986,1986-12-23,Tue,Outback Bowl,27,24,39839,36376,35734,93033,92746,92760,89,100
Michigan State,Pittsburgh,Big Ten,ACC,2021,2021-12-30,Thu,Peach Bowl,31,21,65307,70211,69959,53077,48122,46653,87,77
Georgia,Cincinnati,SEC,Big 12,2020,2021-01-01,Fri,Peach Bowl,24,21,93033,92746,92760,36615,38193,36030,100,96
Florida,Michigan,SEC,Big Ten,2018,2018-12-29,Sat,Peach Bowl,41,15,90017,89587,85791,110548,109971,110235,101,102
Alabama,Washington,SEC,Big Ten,2016,2016-12-31,Sat,Peach Bowl,24,7,100077,100077,100091,68865,68814,66220,100,98
Texas A&M,Duke,SEC,ACC,2013,2013-12-31,Tue,Peach Bowl,52,48,102847,99234,100156,26183,25111,23499,100,74
Auburn,Virginia,SEC,ACC,2011,2011-12-31,Sat,Peach Bowl,43,24,88043,88043,85924,38999,43293,42796,100,63
Virginia Tech,Tennessee,ACC,SEC,2009,2009-12-31,Thu,Peach Bowl,37,14,65632,64733,61137,101915,101915,93936,99,100
Auburn,Clemson,SEC,ACC,2007,2007-12-31,Mon,Peach Bowl,23,20,88043,88043,85924,80806,81334,80557,100,99
Georgia,Virginia Tech,SEC,ACC,2006,2006-12-30,Sat,Peach Bowl,31,24,93033,92746,92760,65632,64733,61137,100,99
Clemson,Tennessee,ACC,SEC,2003,2004-01-02,Fri,Peach Bowl,27,14,80806,81334,80557,101915,101915,93936,99,100
Maryland,Tennessee,Big Ten,SEC,2002,2002-12-31,Tue,Peach Bowl,30,3,36040,40314,36345,101915,101915,93936,69,100
North Carolina,Auburn,ACC,SEC,2001,2001-12-31,Mon,Peach Bowl,16,10,47686,50095,48019,88043,88043,85924,94,100
Mississippi State,Clemson,SEC,ACC,1999,1999-12-30,Thu,Peach Bowl,17,7,48809,54455,54402,80806,81334,80557,79,99
Georgia,Virginia,SEC,ACC,1998,1998-12-31,Thu,Peach Bowl,35,33,93033,92746,92760,38999,43293,42796,100,63
Auburn,Clemson,SEC,ACC,1997,1998-01-02,Fri,Peach Bowl,21,17,88043,88043,85924,80806,81334,80557,100,99
Virginia,Georgia,ACC,SEC,1995,1995-12-30,Sat,Peach Bowl,34,27,38999,43293,42796,93033,92746,92760,63,100
Clemson,Kentucky,ACC,SEC,1993,1993-12-31,Fri,Peach Bowl,14,13,80806,81334,80557,59516,60939,57155,99,97
North Carolina,Mississippi State,ACC,SEC,1992,1993-01-02,Sat,Peach Bowl,21,17,47686,50095,48019,48809,54455,54402,94,79
Auburn,Indiana,SEC,Big Ten,1990,1990-12-29,Sat,Peach Bowl,27,23,88043,88043,85924,48374,44589,44126,100,91
Syracuse,Georgia,ACC,SEC,1989,1989-12-30,Sat,Peach Bowl,19,18,39130,34045,37308,93033,92746,92760,79,100
Tennessee,Indiana,SEC,Big Ten,1987,1988-01-02,Sat,Peach Bowl,27,22,101915,101915,93936,48374,44589,44126,100,91
Virginia,Purdue,ACC,Big Ten,1984,1984-12-31,Mon,Peach Bowl,27,24,38999,43293,42796,59887,58248,55370,63,97
Iowa,Tennessee,Big Ten,SEC,1982,1982-12-31,Fri,Peach Bowl,28,22,69250,69250,67775,101915,101915,93936,100,100
West Virginia,Florida,Big 12,SEC,1981,1981-12-31,Thu,Peach Bowl,26,6,52459,51156,52892,90017,89587,85791,87,101
Baylor,Clemson,Big 12,ACC,1979,1979-12-31,Mon,Peach Bowl,24,18,42302,43388,44087,80806,81334,80557,93,99
Purdue,Georgia Tech,Big Ten,ACC,1978,1978-12-25,Mon,Peach Bowl,41,21,59887,58248,55370,38216,36290,39223,97,69
Kentucky,North Carolina,SEC,ACC,1976,1976-12-31,Fri,Peach Bowl,21,0,59516,60939,57155,47686,50095,48019,97,94
Vanderbilt,Texas Tech,SEC,Big 12,1974,1974-12-28,Sat,Peach Bowl,6,6,28091,25509,26499,58623,54491,54643,98,97
Georgia,Maryland,SEC,Big Ten,1973,1973-12-28,Fri,Peach Bowl,17,16,93033,92746,92760,36040,40314,36345,100,69
Arizona State,North Carolina,Big 12,ACC,1970,1970-12-30,Wed,Peach Bowl,48,26,48984,48301,47262,47686,50095,48019,87,94
West Virginia,South Carolina,Big 12,SEC,1969,1969-12-30,Tue,Peach Bowl,14,3,52459,51156,52892,79329,77833,74988,87,102
Maryland,Virginia Tech,Big Ten,ACC,2021,2021-12-29,Wed,Pinstripe Bowl,54,10,36040,40314,36345,65632,64733,61137,69,99
Michigan State,Wake Forest,Big Ten,ACC,2019,2019-12-27,Fri,Pinstripe Bowl,27,21,65307,70211,69959,29737,30609,28645,87,94
Iowa,Boston College,Big Ten,ACC,2017,2017-12-27,Wed,Pinstripe Bowl,27,20,69250,69250,67775,39839,36376,35734,100,89
Duke,Indiana,ACC,Big Ten,2015,2015-12-26,Sat,Pinstripe Bowl,44,41,26183,25111,23499,48374,44589,44126,74,91
Penn State,Boston College,Big Ten,ACC,2014,2014-12-27,Sat,Pinstripe Bowl,31,30,108379,108409,106750,39839,36376,35734,101,89
Notre Dame,Rutgers,Independent,Big Ten,2013,2013-12-28,Sat,Pinstripe Bowl,29,16,77622,77622,76108,48341,49251,42504,100,92
Syracuse,West Virginia,ACC,Big 12,2012,2012-12-29,Sat,Pinstripe Bowl,38,14,39130,34045,37308,52459,51156,52892,79,87
Rutgers,Iowa State,Big Ten,Big 12,2011,2011-12-30,Fri,Pinstripe Bowl,27,13,48341,49251,42504,57884,60384,58847,92,94
Syracuse,Kansas State,ACC,Big 12,2010,2010-12-30,Thu,Pinstripe Bowl,36,34,39130,34045,37308,51536,51957,49609,79,103
Western Michigan,Nevada,MAC,Mountain West,2021,2021-12-27,Mon,Quick Lane Bowl,52,24,19217,17619,16560,17419,16998,17368,63,64
Pittsburgh,Eastern Michigan,ACC,MAC,2019,2019-12-26,Thu,Quick Lane Bowl,34,30,53077,48122,46653,15489,16882,16025,77,51
Minnesota,Georgia Tech,Big Ten,ACC,2018,2018-12-26,Wed,Quick Lane Bowl,34,10,47467,48453,44743,38216,36290,39223,93,69
Duke,Northern Illinois,ACC,MAC,2017,2017-12-26,Tue,Quick Lane Bowl,36,14,26183,25111,23499,12162,9456,9327,74,51
Boston College,Maryland,ACC,Big Ten,2016,2016-12-26,Mon,Quick Lane Bowl,36,30,39839,36376,35734,36040,40314,36345,89,69
Minnesota,Central Michigan,Big Ten,MAC,2015,2015-12-28,Mon,Quick Lane Bowl,21,14,47467,48453,44743,17752,16350,14608,93,58
Rutgers,North Carolina,Big Ten,ACC,2014,2014-12-26,Fri,Quick Lane Bowl,40,21,48341,49251,42504,47686,50095,48019,92,94
Ohio State,Utah,Big Ten,Big 12,2021,2022-01-01,Sat,Rose Bowl,48,45,104216,103792,102108,52962,52499,49833,101,102
Alabama,Notre Dame,SEC,Independent,2020,2021-01-01,Fri,Rose Bowl,31,14,100077,100077,100091,77622,77622,76108,100,100
Oregon,Wisconsin,Big Ten,Big Ten,2019,2020-01-01,Wed,Rose Bowl,28,27,59104,55895,53384,76057,75391,75328,109,100
Ohio State,Washington,Big Ten,Big Ten,2018,2019-01-01,Tue,Rose Bowl,28,23,104216,103792,102108,68865,68814,66220,101,98
Georgia,Oklahoma,SEC,SEC,2017,2018-01-01,Mon,Rose Bowl,54,48,93033,92746,92760,83513,83741,83073,100,104
Stanford,Iowa,ACC,Big Ten,2015,2016-01-01,Fri,Rose Bowl,45,16,26035,33219,34746,69250,69250,67775,51,100
Michigan State,Stanford,Big Ten,ACC,2013,2014-01-01,Wed,Rose Bowl,24,20,65307,70211,69959,26035,33219,34746,87,51
Stanford,Wisconsin,ACC,Big Ten,2012,2013-01-01,Tue,Rose Bowl,20,14,26035,33219,34746,76057,75391,75328,51,100
Oregon,Wisconsin,Big Ten,Big Ten,2011,2012-01-02,Mon,Rose Bowl,45,38,59104,55895,53384,76057,75391,75328,109,100
Ohio State,Oregon,Big Ten,Big Ten,2009,2010-01-01,Fri,Rose Bowl,26,17,104216,103792,102108,59104,55895,53384,101,109
Texas,Michigan,SEC,Big Ten,2004,2005-01-01,Sat,Rose Bowl,38,37,102386,101625,97565,110548,109971,110235,102,102
Oklahoma,Washington State,SEC,Pac-12,2002,2003-01-01,Wed,Rose Bowl,34,14,83513,83741,83073,22413,28023,27211,104,69
Washington,Purdue,Big Ten,Big Ten,2000,2001-01-01,Mon,Rose Bowl,34,24,68865,68814,66220,59887,58248,55370,98,97
Wisconsin,Stanford,Big Ten,ACC,1999,2000-01-01,Sat,Rose Bowl,17,9,76057,75391,75328,26035,33219,34746,100,51
Wisconsin,UCLA,Big Ten,Big Ten,1998,1999-01-01,Fri,Rose Bowl,38,31,76057,75391,75328,46805,47951,46075,100,51
Michigan,Washington State,Big Ten,Pac-12,1997,1998-01-01,Thu,Rose Bowl,21,16,110548,109971,110235,22413,28023,27211,102,69
Ohio State,Arizona State,Big Ten,Big 12,1996,1997-01-01,Wed,Rose Bowl,20,17,104216,103792,102108,48984,48301,47262,101,87
Penn State,Oregon,Big Ten,Big Ten,1994,1995-01-02,Mon,Rose Bowl,38,20,108379,108409,106750,59104,55895,53384,101,109
Wisconsin,UCLA,Big Ten,Big Ten,1993,1994-01-01,Sat,Rose Bowl,21,16,76057,75391,75328,46805,47951,46075,100,51
Michigan,Washington,Big Ten,Big Ten,1992,1993-01-01,Fri,Rose Bowl,38,31,110548,109971,110235,68865,68814,66220,102,98
Washington,Michigan,Big Ten,Big Ten,1991,1992-01-01,Wed,Rose Bowl,34,14,68865,68814,66220,110548,109971,110235,98,102
Washington,Iowa,Big Ten,Big Ten,1990,1991-01-01,Tue,Rose Bowl,46,34,68865,68814,66220,69250,69250,67775,98,100
Arizona State,Michigan,Big 12,Big Ten,1986,1987-01-01,Thu,Rose Bowl,22,15,48984,48301,47262,110548,109971,110235,87,102
UCLA,Iowa,Big Ten,Big Ten,1985,1986-01-01,Wed,Rose Bowl,45,28,46805,47951,46075,69250,69250,67775,51,100
UCLA,Illinois,Big Ten,Big Ten,1983,1984-01-02,Mon,Rose Bowl,45,9,46805,47951,46075,54750,49698,40166,51,90
UCLA,Michigan,Big Ten,Big Ten,1982,1983-01-01,Sat,Rose Bowl,24,14,46805,47951,46075,110548,109971,110235,51,102
Washington,Iowa,Big Ten,Big Ten,1981,1982-01-01,Fri,Rose Bowl,28,0,68865,68814,66220,69250,69250,67775,98,100
Michigan,Washington,Big Ten,Big Ten,1980,1981-01-01,Thu,Rose Bowl,23,6,110548,109971,110235,68865,68814,66220,102,98
Washington,Michigan,Big Ten,Big Ten,1977,1978-01-02,Mon,Rose Bowl,27,20,68865,68814,66220,110548,109971,110235,98,102
UCLA,Ohio State,Big Ten,Big Ten,1975,1976-01-01,Thu,Rose Bowl,23,10,46805,47951,46075,104216,103792,102108,51,101
Stanford,Michigan,ACC,Big Ten,1971,1972-01-01,Sat,Rose Bowl,13,12,26035,33219,34746,110548,109971,110235,51,102
Stanford,Ohio State,ACC,Big Ten,1970,1971-01-01,Fri,Rose Bowl,27,17,26035,33219,34746,104216,103792,102108,51,101
UCLA,Michigan State,Big Ten,Big Ten,1965,1966-01-01,Sat,Rose Bowl,14,12,46805,47951,46075,65307,70211,69959,51,87
Michigan,Oregon State,Big Ten,Pac-12,1964,1965-01-01,Fri,Rose Bowl,34,7,110548,109971,110235,35799,36969,33325,102,100
Illinois,Washington,Big Ten,Big Ten,1963,1964-01-01,Wed,Rose Bowl,17,7,54750,49698,40166,68865,68814,66220,90,98
Minnesota,UCLA,Big Ten,Big Ten,1961,1962-01-01,Mon,Rose Bowl,21,3,47467,48453,44743,46805,47951,46075,93,51
Washington,Minnesota,Big Ten,Big Ten,1960,1961-01-02,Mon,Rose Bowl,17,7,68865,68814,66220,47467,48453,44743,98,93
Washington,Wisconsin,Big Ten,Big Ten,1959,1960-01-01,Fri,Rose Bowl,44,8,68865,68814,66220,76057,75391,75328,98,100
Iowa,California,Big Ten,ACC,1958,1959-01-01,Thu,Rose Bowl,38,12,69250,69250,67775,39173,38684,39992,100,62
